,Status,ActivityCompleted,nps_score,Comments,Sentiment,Device Type,Browser,Comments_spell_checked,Comments_spell_checked_textblob_polarity_score,Comments_spell_checked_txtblob_polarity,Comments_spell_checked_txtblob_polarity_subjectivity
394,Complete,2022-09-02,1.0,Keep changing things that work great. Don't understand,Positive,Desktop,Chrome,Keep changing things that work great. Don't understand,"Sentiment(polarity=0.8, subjectivity=0.75)",0.8,0.75
395,Complete,2022-09-02,5.0,easy to navigate,Positive,Desktop,Microsoft Edge,easy to navigate,"Sentiment(polarity=0.43333333333333335, subjectivity=0.8333333333333334)",0.43333333333333335,0.8333333333333334
396,Complete,2022-09-02,5.0,K,Neutral,Mobile,Safari mobile,K,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
397,Complete,2022-09-02,5.0,system is easy and friendly  to use.,Positive,Desktop,Chrome,system is easy and friendly to use.,"Sentiment(polarity=0.4041666666666667, subjectivity=0.6666666666666667)",0.4041666666666667,0.6666666666666667
398,Complete,2022-09-02,3.0,the response time on requests are quite long,Negative,Desktop,Chrome,the response time on requests are quite long,"Sentiment(polarity=-0.05, subjectivity=0.4)",-0.05,0.4
399,Complete,2022-09-02,5.0,Sunbelt Portal simple process to navigate when using website,Positive,Desktop,Chrome,Sunbelt Portal simple process to navigate when using website,"Sentiment(polarity=0.0, subjectivity=0.35714285714285715)",0.0,0.35714285714285715
401,Complete,2022-09-02,5.0,Were able to go directly to locations,Positive,Mobile,Safari mobile,Were able to go directly to locations,"Sentiment(polarity=0.3, subjectivity=0.5125)",0.3,0.5125
403,Complete,2022-09-02,5.0,Because I don't have any Issues.,Neutral,Desktop,Chrome,Because I don't have any Issues.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
404,Complete,2022-09-02,1.0,slow response time and difficult to find the equipment I need,Negative,Desktop,Chrome,slow response time and difficult to find the equipment I need,"Sentiment(polarity=-0.4, subjectivity=0.7)",-0.4,0.7
405,Complete,2022-09-02,5.0,Went right to exact equipment and location. Easy to find price,Positive,Mobile,Safari mobile,Went right to exact equipment and location. Easy to find price,"Sentiment(polarity=0.32301587301587303, subjectivity=0.5396825396825397)",0.32301587301587303,0.5396825396825397
407,Complete,2022-09-02,1.0,"Access is constantly down, limited payment methods, does not provide receipts, you have to clear the cache (all time) to switch account numbers.",Negative,Desktop,Chrome,"Access is constantly down, limited payment methods, does not provide receipts, you have to clear the cache (all time) to switch account numbers.","Sentiment(polarity=-0.042328042328042326, subjectivity=0.2716931216931217)",-0.042328042328042326,0.2716931216931217
408,Complete,2022-09-02,5.0,"Easy to find what I was looking for, with a price attached.",Positive,Desktop,Microsoft Edge,"Easy to find what I was looking for, with a price attached.","Sentiment(polarity=0.43333333333333335, subjectivity=0.8333333333333334)",0.43333333333333335,0.8333333333333334
411,Complete,2022-09-02,4.0,Would like to be able to click on each on-rent equipment and see the geolocation individually,Negative,Desktop,Chrome,Would like to be able to click on each on-rent equipment and see the geolocation individually,"Sentiment(polarity=0.25, subjectivity=0.5125)",0.25,0.5125
412,Complete,2022-09-02,2.0,the dates on invoices are not defaulting to 1 year automatically anymore,Negative,Desktop,Chrome,the dates on invoices are not defaulting to 1 year automatically anymore,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
413,Complete,2022-09-02,1.0,Your wires crossed all day,Neutral,Mobile,Safari mobile,Your wires crossed all day,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
415,Complete,2022-09-02,1.0,I cannot log  into my account and have not gotten an email link to reset my password. I cannot pay outstanding invoices,Negative,Desktop,Chrome,I cannot log into my account and have not gotten an email link to reset my password. I cannot pay outstanding invoices,"Sentiment(polarity=0.5, subjectivity=0.875)",0.5,0.875
416,Complete,2022-09-02,3.0,"Having trouble finding what I'm looking for, and chat is not working",Negative,Mobile,Chrome Mobile,"Having trouble finding what I'm looking for, and chat is not working","Sentiment(polarity=-0.2, subjectivity=0.2)",-0.2,0.2
420,Complete,2022-09-02,5.0,"Knowledgeable, kind, great service",Positive,Mobile,Safari mobile,"Knowledgeable, kind, great service","Sentiment(polarity=0.7, subjectivity=0.825)",0.7,0.825
421,Complete,2022-09-02,5.0,Easy to use,Positive,Mobile,Safari mobile,Easy to use,"Sentiment(polarity=0.43333333333333335, subjectivity=0.8333333333333334)",0.43333333333333335,0.8333333333333334
422,Complete,2022-09-02,1.0,The changes are not user friendly. The old site was so much better. The changes have took a tremendous toll on the booking process,Negative,Desktop,Chrome,The changes are not user friendly. The old site was so much better. The changes have took a tremendous toll on the booking process,"Sentiment(polarity=0.32708333333333334, subjectivity=0.55)",0.32708333333333334,0.55
423,Complete,2022-09-02,5.0,very easy to use,Positive,Desktop,Safari,very easy to use,"Sentiment(polarity=0.5633333333333334, subjectivity=1.0)",0.5633333333333334,1.0
427,Complete,2022-09-02,4.0,Site looks great and works well. I'd like to see a button on every page to report issue/feedback/page corrections/ideas.,Positive,Desktop,Chrome,Site looks great and works well. I'd like to see a button on every page to report issue/feedback/page corrections/ideas.,"Sentiment(polarity=0.8, subjectivity=0.75)",0.8,0.75
428,Complete,2022-09-02,5.0,"Because you can’t tell me I can’t. My rental experience was everything I thought it could be, and so much more!",Positive,Mobile,Safari mobile,"Because you can’t tell me I can’t. My rental experience was everything I thought it could be, and so much more!","Sentiment(polarity=0.625, subjectivity=0.5)",0.625,0.5
429,Complete,2022-09-02,3.0,Did not have what I needed. Nor a solution for me.,Negative,Mobile,Chrome Mobile,Did not have what I needed. Nor a solution for me.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
430,Complete,2022-09-02,5.0,"I like using it, user friendly",Positive,Desktop,Chrome,"I like using it, user friendly","Sentiment(polarity=0.375, subjectivity=0.5)",0.375,0.5
432,Complete,2022-09-02,1.0,took over a month to fix the rates showing when you click on the bolded line item description - def room for improvement,Negative,Desktop,Chrome,took over a month to fix the rates showing when you click on the bolded line item description - def room for improvement,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
435,Complete,2022-09-02,5.0,Diana fixed my issue that 2 other support members could  not.,Negative,Desktop,Chrome,Diana fixed my issue that 2 other support members could not.,"Sentiment(polarity=-0.012499999999999997, subjectivity=0.2875)",-0.012499999999999997,0.2875
436,Complete,2022-09-02,5.0,So far good,Positive,Mobile,Safari mobile,So far good,"Sentiment(polarity=0.39999999999999997, subjectivity=0.8)",0.39999999999999997,0.8
438,Complete,2022-09-02,4.0,Should align inventory against catalogue against stores in your area,Negative,Desktop,Chrome,Should align inventory against catalogue against stores in your area,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
440,Complete,2022-09-02,1.0,Too complicated to deal with online everything I just want a simple sign and pay,Negative,Mobile,Safari mobile,Too complicated to deal with online everything I just want a simple sign and pay,"Sentiment(polarity=-0.25, subjectivity=0.6785714285714286)",-0.25,0.6785714285714286
444,Complete,2022-09-02,2.0,"I was kicked off the site multiple times, not being able to complete my order and then when selecting dates it made me add a 2 more days since you are closed Saturday and Sunday",Negative,Desktop,Chrome,"I was kicked off the site multiple times, not being able to complete my order and then when selecting dates it made me add a 2 more days since you are closed Saturday and Sunday","Sentiment(polarity=0.2, subjectivity=0.325)",0.2,0.325
445,Complete,2022-09-02,4.0,its efficient.  some equipment items need correction...12ft single axle trailer pic appears on website as dual axle.. and 0-1000 skid steer has different prices cab/regular for same piece of equipment.. customers have brought this to my attention on several occasions,Positive,Desktop,Chrome,its efficient. some equipment items need correction...12ft single axle trailer pic appears on website as dual axle.. and 0-1000 skid steer has different prices cab/regular for same piece of equipment.. customers have brought this to my attention on several occasions,"Sentiment(polarity=-0.017857142857142856, subjectivity=0.23482142857142857)",-0.017857142857142856,0.23482142857142857
446,Complete,2022-09-02,3.0,Unable to find the reservation recently made,Negative,Desktop,Chrome,Unable to find the reservation recently made,"Sentiment(polarity=-0.25, subjectivity=0.375)",-0.25,0.375
447,Complete,2022-09-02,5.0,Generally pretty easy to manipulate and work with.,Positive,Desktop,Chrome,Generally pretty easy to manipulate and work with.,"Sentiment(polarity=0.3416666666666667, subjectivity=0.9166666666666667)",0.3416666666666667,0.9166666666666667
448,Complete,2022-09-02,1.0,i am trying to use the invoice page and its not responding. Its 11am on a friday and i need this stuff to work.,Negative,Desktop,Microsoft Edge,i am trying to use the invoice page and its not responding. Its 11am on a friday and i need this stuff to work.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
449,Complete,2022-09-02,5.0,They are very prompt and patient.,Positive,Desktop,Microsoft Edge,They are very prompt and patient.,"Sentiment(polarity=0.2, subjectivity=0.3)",0.2,0.3
450,Complete,2022-09-02,1.0,Online service suck’s,Negative,Mobile,Safari mobile,Online service suck’s,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
451,Complete,2022-09-02,1.0,Command Center has been awful. The glitches and having to clear cache is not okay.,Negative,Desktop,Chrome,Command Center has been awful. The glitches and having to clear cache is not okay.,"Sentiment(polarity=-0.3125, subjectivity=0.49583333333333335)",-0.3125,0.49583333333333335
452,Complete,2022-09-02,3.0,I should be able to end rent on a future date which is not possible but should be adjusted to be able to do so.,Mixed,Desktop,Microsoft Edge,I should be able to end rent on a future date which is not possible but should be adjusted to be able to do so.,"Sentiment(polarity=0.25, subjectivity=0.59375)",0.25,0.59375
456,Complete,2022-09-02,1.0,no store has the equipment the website said had availible,Negative,Desktop,Chrome,no store has the equipment the website said had available,"Sentiment(polarity=0.4, subjectivity=0.4)",0.4,0.4
458,Complete,2022-09-02,5.0,user friendly,Positive,Desktop,Chrome,user friendly,"Sentiment(polarity=0.375, subjectivity=0.5)",0.375,0.5
459,Complete,2022-09-02,5.0,Great team work.,Positive,Mobile,Chrome Mobile,Great team work.,"Sentiment(polarity=0.8, subjectivity=0.75)",0.8,0.75
461,Complete,2022-09-02,1.0,"Site is very slow, often takes a while to load or doesn't load at all. Site also will randomly log you out or kick you back to the homepage without warning.",Negative,Desktop,Chrome,"Site is very slow, often takes a while to load or doesn't load at all. Site also will randomly log you out or kick you back to the homepage without warning.","Sentiment(polarity=-0.2966666666666667, subjectivity=0.34)",-0.2966666666666667,0.34
463,Complete,2022-09-02,1.0,The website kicks you out when trying to make a payment or simply logging in. You have to clear cache and cookies just to get to the invoices. Needs to be more user friendly for customers and allow them to select credits when making payments.,Negative,Desktop,Chrome,The website kicks you out when trying to make a payment or simply logging in. You have to clear cache and cookies just to get to the invoices. Needs to be more user friendly for customers and allow them to select credits when making payments.,"Sentiment(polarity=0.24375, subjectivity=0.4351190476190476)",0.24375,0.4351190476190476
467,Complete,2022-09-02,5.0,It is easy to navigate and everything is easy to find,Positive,Desktop,Chrome,It is easy to navigate and everything is easy to find,"Sentiment(polarity=0.43333333333333335, subjectivity=0.8333333333333334)",0.43333333333333335,0.8333333333333334
468,Complete,2022-09-02,2.0,still not fully operational,Negative,Desktop,Firefox,still not fully operational,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
469,Complete,2022-09-02,5.0,quick,Positive,Desktop,Chrome,quick,"Sentiment(polarity=0.3333333333333333, subjectivity=0.5)",0.3333333333333333,0.5
472,Complete,2022-09-02,5.0,"The Sunbelts Rentals site is very functional and intuitive. The Sunbelt training site, not so much.",Mixed,Desktop,Microsoft Edge,"The Sunbelts Rentals site is very functional and intuitive. The Sunbelt training site, not so much.","Sentiment(polarity=0.2, subjectivity=0.25)",0.2,0.25
473,Complete,2022-09-02,5.0,It was easy to navigate.,Positive,Mobile,Chrome Mobile,It was easy to navigate.,"Sentiment(polarity=0.43333333333333335, subjectivity=0.8333333333333334)",0.43333333333333335,0.8333333333333334
474,Complete,2022-09-02,5.0,I am an SCR and this is a great tool for Myself and our Customers,Positive,Desktop,Chrome,I am an CR and this is a great tool for Myself and our Customers,"Sentiment(polarity=0.8, subjectivity=0.75)",0.8,0.75
475,Complete,2022-09-02,1.0,doesnt accept the address im entering so unable to book,Negative,Desktop,Chrome,doesnt accept the address im entering so unable to book,"Sentiment(polarity=-0.5, subjectivity=0.5)",-0.5,0.5
476,Complete,2022-09-02,2.0,This site constantly has problems connecting.,Negative,Desktop,Microsoft Edge,This site constantly has problems connecting.,"Sentiment(polarity=0.0, subjectivity=0.3333333333333333)",0.0,0.3333333333333333
478,Complete,2022-09-02,5.0,great company,Positive,Desktop,Safari,great company,"Sentiment(polarity=0.8, subjectivity=0.75)",0.8,0.75
480,Complete,2022-09-02,5.0,Shows everything I look for,Positive,Desktop,Chrome,Shows everything I look for,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
481,Complete,2022-09-02,1.0,"today it is not letting me log in and I have been using this for 10 years...
what in heck is going on. I requested password change and get an invitation to start an online account .  I will not be using that very suspicious link",Negative,Desktop,Microsoft Edge,today it is not letting me log in and I have been using this for 10 years... what in heck is going on. I requested password change and get an invitation to start an online account . I will not be using that very suspicious link,"Sentiment(polarity=0.2, subjectivity=0.3)",0.2,0.3
483,Complete,2022-09-02,1.0,Very slow,Negative,Desktop,Chrome,Very slow,"Sentiment(polarity=-0.39000000000000007, subjectivity=0.52)",-0.39000000000000007,0.52
484,Complete,2022-09-02,5.0,because they're awesome,Positive,Desktop,Safari,because they're awesome,"Sentiment(polarity=1.0, subjectivity=1.0)",1.0,1.0
487,Complete,2022-09-02,5.0,easy to use,Positive,Desktop,Chrome,easy to use,"Sentiment(polarity=0.43333333333333335, subjectivity=0.8333333333333334)",0.43333333333333335,0.8333333333333334
489,Complete,2022-09-02,1.0,Its not easy to maneuver around. I cant find all of the invoices I am looking for. Credits are hard to apply.,Negative,Desktop,Chrome,Its not easy to maneuver around. I cant find all of the invoices I am looking for. Credits are hard to apply.,"Sentiment(polarity=-0.25416666666666665, subjectivity=0.6875)",-0.25416666666666665,0.6875
491,Complete,2022-09-02,5.0,EZ,Neutral,Mobile,Safari mobile,Z,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
493,Complete,2022-09-02,5.0,Easy to use,Positive,Desktop,Chrome,Easy to use,"Sentiment(polarity=0.43333333333333335, subjectivity=0.8333333333333334)",0.43333333333333335,0.8333333333333334
499,Complete,2022-09-02,5.0,easy to use,Positive,Desktop,Microsoft Edge,easy to use,"Sentiment(polarity=0.43333333333333335, subjectivity=0.8333333333333334)",0.43333333333333335,0.8333333333333334
500,Complete,2022-09-02,5.0,ALWAYS EXCELLENT SERVICE!,Positive,Desktop,Chrome,ALWAYS EXCELLENT SERVICE!,"Sentiment(polarity=1.0, subjectivity=1.0)",1.0,1.0
504,Complete,2022-09-02,3.0,"Load times on many of the pages is extremely slow, and just appear to be empty.",Negative,Desktop,Chrome,"Load times on many of the pages is extremely slow, and just appear to be empty.","Sentiment(polarity=0.03333333333333332, subjectivity=0.4666666666666666)",0.03333333333333332,0.4666666666666666
505,Complete,2022-09-02,3.0,The website is set up nicely however there are too many glitches that I have to wait for it to be up and running again which hinders processing customer payments.,Mixed,Desktop,Chrome,The website is set up nicely however there are too many glitches that I have to wait for it to be up and running again which hinder processing customer payments.,"Sentiment(polarity=0.55, subjectivity=0.75)",0.55,0.75
506,Complete,2022-09-02,3.0,Actual availability may differ from what I have been told on the phone  by employee at the store when calling them versus trying to book a rental online.,Negative,Mobile,Safari mobile,Actual availability may differ from what I have been told on the phone by employee at the store when calling them versus trying to book a rental online.,"Sentiment(polarity=0.0, subjectivity=0.1)",0.0,0.1
507,Complete,2022-09-02,4.0,Responsive,Neutral,Mobile,Safari mobile,Responsive,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
509,Complete,2022-09-02,2.0,lack of images,Negative,Desktop,Safari,lack of images,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
510,Complete,2022-09-02,2.0,I don't have access to pricing when clicking on the contract header like before,Negative,Desktop,Chrome,I don't have access to pricing when clicking on the contract header like before,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
513,Complete,2022-09-02,3.0,no so bad but need to be faster,Mixed,Desktop,Chrome,no so bad but need to be faster,"Sentiment(polarity=-0.6999999999999998, subjectivity=0.6666666666666666)",-0.6999999999999998,0.6666666666666666
514,Complete,2022-09-02,1.0,Created an account and within 1-minute couldn't use it and was locked out. Now I have to call customer service to try to get in.,Negative,Desktop,Microsoft Edge,Created an account and within 1-minute couldn't use it and was locked out. Now I have to call customer service to try to get in.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
515,Complete,2022-09-02,5.0,easy to use technology,Positive,Desktop,Chrome,easy to use technology,"Sentiment(polarity=0.43333333333333335, subjectivity=0.8333333333333334)",0.43333333333333335,0.8333333333333334
518,Complete,2022-09-02,1.0,"We can't get our credit invoices and the one that is showing, is showing as PAID and we haven't collected it yet.",Negative,Desktop,Chrome,"We can't get our credit invoices and the one that is showing, is showing as AID and we haven't collected it yet.","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
521,Complete,2022-09-02,2.0,slow,Negative,Desktop,Chrome,slow,"Sentiment(polarity=-0.30000000000000004, subjectivity=0.39999999999999997)",-0.30000000000000004,0.39999999999999997
523,Complete,2022-09-02,3.0,Not enough space to type message.,Negative,Desktop,Microsoft Edge,Not enough space to type message.,"Sentiment(polarity=0.0, subjectivity=0.5)",0.0,0.5
525,Complete,2022-09-02,2.0,slow,Negative,Desktop,Microsoft Edge,slow,"Sentiment(polarity=-0.30000000000000004, subjectivity=0.39999999999999997)",-0.30000000000000004,0.39999999999999997
528,Complete,2022-09-02,5.0,"Sales rep was very helpful, he didnt have the tool i needed at his location but found it at the nearby location, reserved it for me and explained my rental to me thoroughly to make sure I understood,  and wouldn’t incur extra charges and i was off the phone within a few minutes",Positive,Mobile,Safari mobile,"Sales rep was very helpful, he didnt have the tool i needed at his location but found it at the nearby location, reserved it for me and explained my rental to me thoroughly to make sure I understood, and wouldn’t incur extra charges and i was off the phone within a few minutes","Sentiment(polarity=0.12499999999999999, subjectivity=0.34722222222222227)",0.12499999999999999,0.34722222222222227
530,Complete,2022-09-02,5.0,They’re always professional courteous and always good to their customers,Positive,Mobile,Safari mobile,They’re always professional courteous and always good to their customers,"Sentiment(polarity=0.4666666666666666, subjectivity=0.5666666666666668)",0.4666666666666666,0.5666666666666668
531,Complete,2022-09-02,3.0,Just browsing,Neutral,Mobile,Chrome Mobile,Just browsing,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
533,Complete,2022-09-02,1.0,It used to take about a minute to run a payment. Now it takes about 10.  It used to take about 30 seconds to change the acct to paperless billing. Now it takes over a minute. it used to take about 10 seconds to send an invite to the portal. Now it takes over a minute.,Neutral,Desktop,Chrome,It used to take about a minute to run a payment. Now it takes about 10. It used to take about 30 seconds to change the acct to paperless billing. Now it takes over a minute. it used to take about 10 seconds to send an invite to the portal. Now it takes over a minute.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
535,Complete,2022-09-02,1.0,very slow,Negative,Desktop,Chrome,very slow,"Sentiment(polarity=-0.39000000000000007, subjectivity=0.52)",-0.39000000000000007,0.52
538,Complete,2022-09-02,1.0,The website doesn't even work! Can't even make a payment.,Negative,Desktop,Chrome,The website doesn't even work! Can't even make a payment.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
540,Complete,2022-09-02,5.0,Its doing what I expect it  to properly because your engineers aren't incompetent.,Mixed,Desktop,Chrome,Its doing what I expect it to properly because your engineers aren't incompetent.,"Sentiment(polarity=-0.175, subjectivity=0.23333333333333334)",-0.175,0.23333333333333334
542,Complete,2022-09-02,1.0,should be able to populate canadian branches when you click on website.,Negative,Desktop,Chrome,should be able to populate canadian branches when you click on website.,"Sentiment(polarity=0.5, subjectivity=0.625)",0.5,0.625
543,Complete,2022-09-02,3.0,I’m trying to find excavator heads that cuts brush and saplings,Neutral,Mobile,Safari mobile,I’m trying to find excavator heads that cuts brush and saplings,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
545,Complete,2022-09-02,3.0,"there is no information on how much area a model of dehumidifier can cover? 
So who can say which model works best for my projects needs.",Negative,Desktop,Chrome,there is no information on how much area a model of dehumidifier can cover? So who can say which model works best for my projects needs.,"Sentiment(polarity=0.6, subjectivity=0.25)",0.6,0.25
546,Complete,2022-09-02,5.0,Easy to work with and great on getting us what we need for the job.,Positive,Desktop,Chrome,Easy to work with and great on getting us what we need for the job.,"Sentiment(polarity=0.6166666666666667, subjectivity=0.7916666666666667)",0.6166666666666667,0.7916666666666667
547,Complete,2022-09-02,5.0,fast response,Positive,Desktop,Chrome,fast response,"Sentiment(polarity=0.2, subjectivity=0.6)",0.2,0.6
548,Complete,2022-09-02,3.0,cause,Neutral,Desktop,Chrome,cause,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
550,Complete,2022-09-02,1.0,Loading invoices is a struggle.,Negative,Desktop,Chrome,Loading invoices is a struggle.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
551,Complete,2022-09-02,1.0,because i can't give it a lower score,Negative,Desktop,Chrome,because i can't give it a lower score,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
554,Complete,2022-09-02,4.0,catalog not complete as I was told.,Negative,Desktop,Firefox,catalog not complete as I was told.,"Sentiment(polarity=-0.05, subjectivity=0.4)",-0.05,0.4
558,Complete,2022-09-02,5.0,Easy,Positive,Mobile,Safari mobile,Easy,"Sentiment(polarity=0.43333333333333335, subjectivity=0.8333333333333334)",0.43333333333333335,0.8333333333333334
559,Complete,2022-09-02,1.0,"Because I’m not down and won’t let me get back to the phone number without rating the web site, that’s stupid!",Negative,Mobile,Safari mobile,"Because I’m not down and won’t let me get back to the phone number without rating the web site, that’s stupid!","Sentiment(polarity=-0.30740740740740735, subjectivity=0.42962962962962964)",-0.30740740740740735,0.42962962962962964
560,Complete,2022-09-02,1.0,"Can we please go back to how it was a year ago. It was so much more efficient. It is way too slow, and non dependable any more.",Negative,Desktop,Chrome,"Can we please go back to how it was a year ago. It was so much more efficient. It is way too slow, and non dependable any more.","Sentiment(polarity=0.175, subjectivity=0.35)",0.175,0.35
561,Complete,2022-09-02,4.0,85,Neutral,Mobile,Safari mobile,85,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
562,Complete,2022-09-02,1.0,I was rented the wrong model,Negative,Mobile,Google App,I was rented the wrong model,"Sentiment(polarity=-0.5, subjectivity=0.9)",-0.5,0.9
563,Complete,2022-09-02,5.0,lol   on ph w sunbelt,Neutral,Desktop,Chrome,lol on ph w sunbelt,"Sentiment(polarity=0.8, subjectivity=0.7)",0.8,0.7
564,Complete,2022-09-02,5.0,Because I can know why an invoice has not been paid.  It's awesome!!,Positive,Desktop,Chrome,Because I can know why an invoice has not been paid. It's awesome!!,"Sentiment(polarity=1.0, subjectivity=1.0)",1.0,1.0
565,Complete,2022-09-02,1.0,"Im not able to pay invoice online, just found out you guys no longer accept debit cards for payments so I tried paying it with our company checking account and im still having the same issues for the past couple of days, i did what the online chat rep recommended and still didnt",Negative,Desktop,Chrome,"Im not able to pay invoice online, just found out you guys no longer accept debit cards for payments so I tried paying it with our company checking account and im still having the same issues for the past couple of days, i did what the online chat rep recommended and still didnt","Sentiment(polarity=-0.16666666666666666, subjectivity=0.3333333333333333)",-0.16666666666666666,0.3333333333333333
566,Complete,2022-09-02,5.0,very easy to surf.,Positive,Desktop,Chrome,very easy to surf.,"Sentiment(polarity=0.5633333333333334, subjectivity=1.0)",0.5633333333333334,1.0
570,Complete,2022-09-02,5.0,It's straight forward and simple,Positive,Mobile,Chrome Mobile,It's straight forward and simple,"Sentiment(polarity=0.1, subjectivity=0.37857142857142856)",0.1,0.37857142857142856
571,Complete,2022-09-02,5.0,Prices are awesome,Positive,Mobile,Safari mobile,Prices are awesome,"Sentiment(polarity=1.0, subjectivity=1.0)",1.0,1.0
574,Complete,2022-09-02,3.0,Just give quote,Neutral,Mobile,Chrome Mobile,Just give quote,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
575,Complete,2022-09-02,4.0,Scheduling is clunky,Negative,Mobile,Safari mobile,Scheduling is clunky,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
577,Complete,2022-09-02,5.0,Lots of information,Positive,Mobile,Chrome Mobile,Lots of information,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
581,Complete,2022-09-02,5.0,Very smooth rental operation.,Positive,Mobile,Safari mobile,Very smooth rental operation.,"Sentiment(polarity=0.52, subjectivity=0.65)",0.52,0.65
583,Complete,2022-09-02,2.0,"As a retired CIO, with my 40 year career in software development, I've seen much better website useability design. I love Sunbelt but the site is horrible. 

Thanks,

Eddie",Negative,Desktop,Microsoft Edge,"As a retired CIO, with my 40 year career in software development, I've seen much better website usability design. I love Sunbelt but the site is horrible. Thanks, Eddie","Sentiment(polarity=0.05, subjectivity=0.5750000000000001)",0.05,0.5750000000000001
584,Complete,2022-09-02,5.0,Easy to read and follow interface with full pricing details and item photos,Positive,Mobile,Chrome Mobile,Easy to read and follow interface with full pricing details and item photos,"Sentiment(polarity=0.39166666666666666, subjectivity=0.6916666666666667)",0.39166666666666666,0.6916666666666667
586,Complete,2022-09-02,5.0,"Honestly, it's the best rentals website setup I've seen.",Positive,Desktop,Chrome,"Honestly, it's the best rentals website setup I've seen.","Sentiment(polarity=0.8, subjectivity=0.6)",0.8,0.6
590,Complete,2022-09-03,3.0,Ok,Neutral,Mobile,Safari mobile,Ok,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5
591,Complete,2022-09-03,5.0,No hidden pricing,Positive,Mobile,Safari mobile,No hidden pricing,"Sentiment(polarity=0.08333333333333333, subjectivity=0.3333333333333333)",0.08333333333333333,0.3333333333333333
596,Complete,2022-09-03,3.0,average site,Neutral,Desktop,Firefox,average site,"Sentiment(polarity=-0.15, subjectivity=0.39999999999999997)",-0.15,0.39999999999999997
597,Complete,2022-09-03,1.0,It's really slow and does not navigate smoothly,Negative,Tablet,Mobile Samsung Browser,It's really slow and does not navigate smoothly,"Sentiment(polarity=0.04999999999999999, subjectivity=0.44999999999999996)",0.04999999999999999,0.44999999999999996
602,Complete,2022-09-03,5.0,Easy to find what I need,Positive,Desktop,Chrome,Easy to find what I need,"Sentiment(polarity=0.43333333333333335, subjectivity=0.8333333333333334)",0.43333333333333335,0.8333333333333334
605,Complete,2022-09-03,4.0,Like,Neutral,Mobile,Chrome Mobile,Like,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
606,Complete,2022-09-03,1.0,Keeps kicking me off,Negative,Mobile,Safari mobile,Keeps kicking me off,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
607,Complete,2022-09-03,1.0,its slow drops out constantly  not good,Negative,Desktop,Safari,its slow drops out constantly not good,"Sentiment(polarity=-0.325, subjectivity=0.5)",-0.325,0.5
608,Complete,2022-09-03,5.0,V,Neutral,Mobile,Chrome Mobile,V,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
609,Complete,2022-09-03,5.0,Good service,Positive,Mobile,Safari mobile,Good service,"Sentiment(polarity=0.7, subjectivity=0.6000000000000001)",0.7,0.6000000000000001
610,Complete,2022-09-03,5.0,Clear and simple,Positive,Mobile,Safari mobile,Clear and simple,"Sentiment(polarity=0.05000000000000001, subjectivity=0.37023809523809526)",0.05000000000000001,0.37023809523809526
611,Complete,2022-09-03,5.0,great,Positive,Desktop,Chrome,great,"Sentiment(polarity=0.8, subjectivity=0.75)",0.8,0.75
613,Complete,2022-09-03,4.0,"Trouble getting location with computer, worked fine on phone.",Mixed,Mobile,Safari mobile,"Trouble getting location with computer, worked fine on phone.","Sentiment(polarity=0.10833333333333334, subjectivity=0.35)",0.10833333333333334,0.35
